artists,song_id,year,avg_popularity
"The Weeknd",0VjIjW4GlUZAMYd2vXMi3b,2020,100.0000
"DaBaby', 'Roddy Ricch",7ytR5pFWmSjzHJIeQkgog4,2020,99.0000
"Powfu', 'beabadoobee",7eJMfftS33KTjuF7lTsMCx,2020,97.0000
"THE SCOTTS', 'Travis Scott', 'Kid Cudi",39Yp9wwQiSRIDOvrVg7mbk,2020,96.0000
Drake,127QTOFJsJQp5LbJbu3A1y,2020,95.0000
"Roddy Ricch",0nbXyq5TXYPCO7pr3N8S4I,2019,95.0000
"BENEE', 'Gus Dapperton",4nK5YrxbMGZstTLbvj6Gxw,2019,95.0000
"Surf Mesa', 'Emilee",62aP9fBQKYKxi7PDXwcUAS,2019,95.0000
"Ariana Grande', 'Justin Bieber",4HBZA5flZLE435QTztThqH,2020,94.0000
6ix9ine,4NhDYoQTYCdWHTvlbGVgwo,2020,94.0000
"Lady Gaga', 'Ariana Grande",24ySl2hOPGCDcxBxFIqWBu,2020,94.0000
StaySolidRocky,5RqR4ZCCKJDcBLIn4sih9l,2020,94.0000
"Tones And I",2XU0oxnq2qxCpomAAuJY8K,2019,94.0000
"Doja Cat",3Dv1eDb0MEgF93GpLXlucZ,2019,93.0000
"Dua Lipa",6WrI0LAC5M1Rw2MnX2ZvEg,2019,93.0000
Surfaces,1Cv1YLb4q0RzL6pybtaMLo,2019,93.0000
"Jack Harlow",1jaTQ3nqY3oAAYyCTbIvnM,2020,92.0000
"Lil Mosey",6wJYhPfqk3KGhHRG76WzOh,2020,92.0000
"Doja Cat",78qd8dvwea0Gosb6Fe6j3k,2020,92.0000
"Bad Bunny', 'Jowell & Randy', 'Nengo Flow",2DEZmgHKAvm41k4J3R2E9Y,2020,92.0000
"Bad Bunny",0SqqAgdovOE24BzxIClpjw,2020,92.0000
"Megan Thee Stallion', 'Beyoncé",5v4GgrXPMghOnBBLmveLac,2020,92.0000
"KAROL G', 'Nicki Minaj",7k4t7uLgtOxPwTpFmtJNTY,2019,92.0000
"Lewis Capaldi",7qEHsqek33rTcFNT9PFqLf,2019,92.0000
"Topic', 'A7S",3H7ihDc1dqLriiWXwsc2po,2019,92.0000
"Arizona Zervas",696DnlkuDOXcMAnKlTgXXK,2019,92.0000
"Travis Scott",2xLMifQCjDGFmkHkpNLD9h,2018,92.0000
"Trevor Daniel",4TnjEaWOeW0eKTKIEvJyCa,2018,92.0000
"Travis Scott",6gBFPUFcJLzWGx4lenP6h2,2016,92.0000
"Marshmello', 'Halsey",3Z8FwOEN59mRMxDCtb8N0A,2020,91.0000
"The Weeknd",7szuecWAPwGoV1e5vGu8tl,2020,91.0000
"Maroon 5",2b8fOow8UzyDFAE27YhOZM,2019,91.0000
"Billie Eilish",2Fxmhks0bxGSBdJ92vM42m,2019,91.0000
"Travis Scott",3eekarcy7kvN4yt5ZFzltW,2019,91.0000
"Melanie Martinez",4DpNNXFMMxQEKl7r0ykkWA,2015,91.0000
"ROSALÍA', 'Travis Scott",4w47S36wQGBhGg073q3nt7,2020,90.0000
"Justin Bieber', 'Quavo",364dI1bYnvamSnBJ8JcNzN,2020,90.0000
"Future', 'Drake",5yY9lUy8nbvjM1Uyo1Uqoc,2020,90.0000
"Black Eyed Peas', 'Ozuna', 'J. Rey Soul",14wf185UxfNbSy8dwt4r4q,2020,90.0000
"Don Toliver",527k23H0A4Q0UJN3vGs0Da,2020,90.0000
"Dua Lipa",017PF4Q3l4DBUiWoXk4OWT,2020,90.0000
"Billie Eilish",3ZCTVFBt2Brf31RLEnCkWJ,2019,90.0000
"Harry Styles",6UelLqGlWMcVH1E5c4H7lY,2019,90.0000
Regard,2tnVG71enUj33Ic2nFN6kZ,2019,90.0000
DripReport,2alc8VZAzDgdAsL2QMk3hu,2020,89.0000
"Doja Cat', 'Nicki Minaj",11VApNQCWLJdzxWrlmwzUa,2020,89.0000
"Dua Lipa",1raaNykBg1bDnWENUiglUA,2020,89.0000
"Dua Lipa",3PfIrDoz19wz7qK7tYeu62,2020,89.0000
"Juice WRLD",0OyQns5ayNK2OVaES0Vb8t,2020,89.0000
"Megan Thee Stallion",55CHeLEfn5iJ0IIkgaa4si,2020,89.0000
"Ava Max",76nqCfJOcFFWBJN32PAksn,2020,89.0000
"Eminem', 'Juice WRLD",7FIWs0pqAYbP91WWM0vlTQ,2020,89.0000
"Rauw Alejandro",7na7Bk98usp84FaOJFPv3d,2020,89.0000
"JP Saxe', 'Julia Michaels",2kJwzbxV2ppxnQoYw4GLBZ,2019,89.0000
"Juice WRLD",285pBltuF7vW8TeWk8hdRR,2018,89.0000
"Billie Eilish', 'Khalid",0u2P5u6lvoDfwTYjAADbn4,2018,89.0000
"Anuel AA', 'Bad Bunny",06s3QtMJVXw1AJX3UfvZG1,2020,88.0000
"Kygo', 'OneRepublic",7xbWAw3LMgRMn4omR5yVn3,2020,88.0000
"Justin Bieber', 'Quavo",4umIPjkehX1r7uhmGvXiSV,2020,88.0000
"Drake', 'Giveon",4wVOKKEHUJxHCFFNUWDn0B,2020,88.0000
"Lil Mosey",22LAwLoDA5b4AaGSkg6bKW,2020,88.0000
"Bad Bunny",6NfrH0ANGmgBXyxgV2PeXt,2020,88.0000
"Black Eyed Peas', 'J Balvin",6cy3ki60hLwimwIje7tALf,2019,88.0000
blackbear,7aiClxsDWFRQ0Kzk5KI5ku,2019,88.0000
"Lewis Capaldi",7ce20yLkzuXXLUhzIDoZih,2019,88.0000
"MEDUZA', 'Becky Hill', 'Goodboys",7CHi4DtfK4heMlQaudCuHK,2019,88.0000
"Shawn Mendes', 'Camila Cabello",0TK2YIli7K1leLovkQiNik,2019,88.0000
"Harry Styles",3jjujdWJ72nww5eGnfs2E7,2019,88.0000
"Myke Towers",3JHpk0DOTOzyh0777JFAky,2020,87.0000
Camilo,0Snbzbd74RLfL0i4nn1vU5,2020,87.0000
"Khalid', 'Disclosure",0TrPqhAMoaKUFLR7iYDokf,2020,87.0000
"Lady Gaga', 'Ariana Grande",7ju97lgwC2rKQ6wwsf9no9,2020,87.0000
"Lady Gaga', 'BLACKPINK",6R6ZoHTypt5lt68MWbzZXv,2020,87.0000
"Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka",1mohfLaTJtB2RplHLQVM70,2020,87.0000
"Bad Bunny",41wtwzCZkXwpnakmwJ239F,2020,87.0000
Drake,466cKvZn1j45IpxDdYZqdA,2020,87.0000
"Sleepy Hallow', 'Fousheé",4zTPYAf5scZdp0LnwPPeWK,2020,87.0000
"Ariana Grande",6ocbgoVGwYJhOv1GgI9NsF,2019,87.0000
"Roddy Ricch', 'Mustard",07KXEDMj78x68D884wgVEm,2019,87.0000
"Feid', 'Justin Quiles",3iQOfefMGDVDwo8dZoco8T,2019,87.0000
"Mustard', 'Roddy Ricch",3QzAOrNlsabgbMwlZt7TAY,2019,87.0000
"Ava Max",7vgv8KZBSo0TPzyIWG9yzV,2019,87.0000
"Billie Eilish",43zdsphuZLzwA9k4DJhU0I,2019,87.0000
"Dan + Shay', 'Justin Bieber",2wrJq5XKLnmhRXHIAf9xBa,2019,87.0000
"Harry Styles",1ZMiCix7XSAbfAJlEZWMCp,2019,87.0000
XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,2018,87.0000
"Post Malone', '21 Savage",0e7ipj03S05BNilyu5bRzt,2018,87.0000
"Imagine Dragons",0pqnGHJpmpxLKifKRmU6WP,2017,87.0000
XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,2017,87.0000
"Twenty One Pilots",6xZ4Q2k2ompmDppyeESIY8,2020,86.0000
Halsey,7lidXGPXPYLNThITAOTlkK,2020,86.0000
