artists,year,song_id,popularity
"The Weeknd",2020,0VjIjW4GlUZAMYd2vXMi3b,100
"Powfu', 'beabadoobee",2020,7eJMfftS33KTjuF7lTsMCx,97
"THE SCOTTS', 'Travis Scott', 'Kid Cudi",2020,39Yp9wwQiSRIDOvrVg7mbk,96
Drake,2020,127QTOFJsJQp5LbJbu3A1y,95
"Lady Gaga', 'Ariana Grande",2020,24ySl2hOPGCDcxBxFIqWBu,94
"Ariana Grande', 'Justin Bieber",2020,4HBZA5flZLE435QTztThqH,94
6ix9ine,2020,4NhDYoQTYCdWHTvlbGVgwo,94
StaySolidRocky,2020,5RqR4ZCCKJDcBLIn4sih9l,94
"Doja Cat",2020,78qd8dvwea0Gosb6Fe6j3k,92
"Bad Bunny', 'Jowell & Randy', 'Nengo Flow",2020,2DEZmgHKAvm41k4J3R2E9Y,92
"Marshmello', 'Halsey",2020,3Z8FwOEN59mRMxDCtb8N0A,91
"ROSALÍA', 'Travis Scott",2020,4w47S36wQGBhGg073q3nt7,90
"Future', 'Drake",2020,5yY9lUy8nbvjM1Uyo1Uqoc,90
"Justin Bieber', 'Quavo",2020,364dI1bYnvamSnBJ8JcNzN,90
"Dua Lipa",2020,017PF4Q3l4DBUiWoXk4OWT,90
"Black Eyed Peas', 'Ozuna', 'J. Rey Soul",2020,14wf185UxfNbSy8dwt4r4q,90
"Juice WRLD",2020,0OyQns5ayNK2OVaES0Vb8t,89
"Doja Cat', 'Nicki Minaj",2020,11VApNQCWLJdzxWrlmwzUa,89
DripReport,2020,2alc8VZAzDgdAsL2QMk3hu,89
"Ava Max",2020,76nqCfJOcFFWBJN32PAksn,89
"Eminem', 'Juice WRLD",2020,7FIWs0pqAYbP91WWM0vlTQ,89
"Rauw Alejandro",2020,7na7Bk98usp84FaOJFPv3d,89
"Anuel AA', 'Bad Bunny",2020,06s3QtMJVXw1AJX3UfvZG1,88
"Drake', 'Giveon",2020,4wVOKKEHUJxHCFFNUWDn0B,88
"Lil Mosey",2020,22LAwLoDA5b4AaGSkg6bKW,88
"Myke Towers",2020,3JHpk0DOTOzyh0777JFAky,87
"Khalid', 'Disclosure",2020,0TrPqhAMoaKUFLR7iYDokf,87
"Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka",2020,1mohfLaTJtB2RplHLQVM70,87
"Bad Bunny",2020,0FktnzDqjClqU6iqOZVEs2,86
"Sam Smith', 'Demi Lovato",2020,1fipvP2zmef6vN2IwXfJhY,86
"Lady Gaga', 'BLACKPINK",2020,1IWNylpZ477gIVUDpJL66u,86
"Jhay Cortez', 'Bad Bunny",2020,2tFwfmceQa1Y6nRPhYbEtC,86
"Bad Bunny', 'Daddy Yankee",2020,69vlMrzHwATKzupwNcUPyK,86
"Twenty One Pilots",2020,6xZ4Q2k2ompmDppyeESIY8,86
"PARTYNEXTDOOR', 'Rihanna",2020,4HDCLYli2SUdkq9OjmvhSD,86
Sech,2020,4lMOQR1rRW5hJgJXOtKraL,86
"S1mba', 'DTG",2020,4slSrbTK1sNK4I1mDYEthf,86
"Bad Bunny', 'Don Omar",2020,5XqCz18k96K8tx6DAYM97i,86
"Robin Schulz', 'Alida",2020,61ZM92T2zaXIVsqncThQzC,86
"Juice WRLD', 'Trippie Redd",2020,4CNcRgjGw1v9VQaTaytdnD,85
"YNW Melly', 'Juice WRLD",2020,4S2uhQE8L9V6p7rj7SiauJ,85
"Bad Bunny', 'Nicky Jam",2020,5bmSver2b3ZXyuyLKtgnFI,85
"Polo G', 'Juice WRLD",2020,2QqJTIlGKRLJC3onkavYEz,85
"Justin Quiles', 'Daddy Yankee', 'El Alfa",2020,0eeKDrQxjqNl5bX5VCHDcn,85
"Rauw Alejandro', 'Anuel AA', 'Natti Natasha', 'Farruko', 'Lunay",2020,0A37XY67wSdGqkGjtfW6aV,84
"NAV', 'Gunna', 'Travis Scott",2020,0lSZh5W0wDeurkGzLYY6hf,84
"IU', 'SUGA",2020,0pYacDCZuRhcrwGUA5nTBe,84
"Chris Brown', 'Young Thug",2020,1IIKrJVP1C9N7iPtG6eOsK,84
"G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper",2020,3jT2LKH0RSbQ8jIUNFzXm5,84
"Yandel', 'Bad Bunny",2020,3pm4XtcsRIFFtH2UErk62R,84
"Alexander 23",2020,47EWMOElkkbMp5m9SBkx7d,84
"Future', 'Travis Scott",2020,4kfeRwpq5KUaqTkgi4TbDF,84
"Nicky Jam', 'Daddy Yankee",2020,4VgYtXCVJ7IbWAZ5ryfvEQ,84
"Drake', 'Playboi Carti",2020,6Kj17Afjo1OKJYpf5VzCeo,84
"Billie Eilish",2020,73SpzrcaHk0RQPFP73vqVR,84
"Nea', 'Felix Jaehn",2020,7C1trmcQQ5n5RNy4l6ziCv,84
"Lunay', 'Myke Towers', 'Ozuna', 'Chencho Corleone', 'Rauw Alejandro",2020,2tGENA8xef0wABdHvyXwv9,83
"G-Eazy', 'Tory Lanez', 'Tyga",2020,0JjM9bKm4wrwohMslcm892,83
"Bad Bunny', 'Sech",2020,3wYRLYuO1M88d8woWUIxct,83
"Lauv', 'Troye Sivan",2020,4vjpLMyL3ZO6aphdYr8XYw,83
"Reik', 'Farruko', 'Camilo",2020,56Ta1O7Jxxpjnc6cWdDKUo,83
"Shakira', 'Anuel AA",2020,5Xhqh4lwJPtMUTsdBztN1a,83
"Casper Magico', 'Anuel AA",2020,46V4kseB66GjFGklCgynGX,82
"Jonas Brothers', 'KAROL G",2020,77fvnWALKJR0ws1VUx09CY,82
"Lauv', 'Anne-Marie",2020,09PGubKAMryhOWv1LHpCYz,82
Camilo,2020,0jT8Nl0shPS8115is0wD2Q,82
"The Weeknd', 'Doja Cat",2020,0UnTaVkntyh3vqvLEvbpQx,81
"Daddy Yankee', 'Sech",2020,113PlnpZbHd3WIqeYjhZWv,81
"Lennon Stella', 'Charlie Puth",2020,49dFIRQCQxPWgoH0m38XQ5,81
jxdn,2020,4GUj9MfPPkjpZskxb45uiX,81
Juanfran,2020,52zq2a71SGs3f1vJuv59ui,81
"Sech', 'Daddy Yankee",2020,5kbps8unnGH4raN5WduZuq,81
"Gunna', 'Roddy Ricch",2020,5LHHKZOwV8XW4LJP2C64mw,81
"J Balvin",2020,1syf62zw48zu4FrPwMtDHk,81
"Anuel AA', 'Enrique Iglesias",2020,2hDe0Ls5mVqs1XJqv7sbcM,81
Joji,2020,2hfoyc7ve6xM4ZEiNIiU1B,81
"Joel Corry",2020,2ZEq4HT450Ye9IFGPTl9qV,81
"Manuel Turizo",2020,34LI7rwi9H8w2S5KTHnv1M,81
"Alicia Keys",2020,3FGiFUJRRp5RGikVrs6kig,81
"Jhay Cortez', 'Anuel AA', 'J Balvin",2020,3qM0vBxIe4VUbK0Z0smuVP,81
"Polo G', 'Lil Baby",2020,65jw6GhwQW3Db55PxlPEpS,81
"Princess Nokia",2020,68UU9oaQtMDnh6PRlW842H,81
"Farruko', 'Beéle', 'Natti Natasha', 'Manuel Turizo",2020,6nGM44ZP7vSo0istUW2MOq,81
ITZY,2020,6tCssnvTUREcperDOUTqvA,81
"Lil Tecca', 'Internet Money",2020,7rTzrRdc5UbvLr0gwI1J3E,81
"Jhené Aiko', 'H.E.R.",2020,63wx9vdskaXbYxyDx4oJCZ,80
"Migos', 'YoungBoy Never Broke Again",2020,6mtjo5kIHKlboGE84lf1FJ,80
"A Boogie Wit da Hoodie', 'London On Da Track', 'Roddy Ricch', 'Gunna",2020,733c1CWmIGymoQXdp7Us88,80
"The Kid LAROI', 'Lil Tecca",2020,7gVwgc8b3XnO87TpmXXFA5,80
"Martin Garrix', 'Clinton Kane",2020,4RVtBlHFKj51Ipvpfv5ER4,80
"Sebastian Yatra', 'Rauw Alejandro', 'Manuel Turizo",2020,4s45VgkknMFkdiGoUcjxQU,80
"DaBaby', 'Quavo",2020,5gNOINI5dXZVom2b36LMOd,80
